;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
   Spain;3053;2970;3414;2813;3028;3146;3515;3777;3718;3986;3768;4058;4026;4136;4173;4356;4538;4875;4864;4811;5034;4821;5094;5137;5406;5429;5660;5414;5673;5984
   Sweden;1767;1717;1772;1757;1893;1420;1522;1473;1440;1456;1344;1432;1463;1435;1495;1693;1820;1770;1804;1659;1727;1647;1680;1709;2198;2121;2350;2306;2262;2348
Japan;5330;5510;5326;5691;6217;5489;5994;5921;6027;6547;6908;6996;7307;6923;7254;7408;7632;7086;7060;7090;7407;7544;7025;8381;7657;8063;8026;7647;7540;8040
Norway;742;761;739;693;806;662;720;684;707;790;662;716;698;691;716;753;731;780;722;724;759;795;735;781;743;800;799;801;743;786
Russian Federation;0;0;1382;1795;1726;1728;1128;2185;1732;1368;1890;3057;3504;3772;3205;3336;3465;4318;4053;3553;4155;4218;4175;4410;4747;4710;5233;5468;5288;5917
Switzerland;1171;1130;1101;1060;1099;1017;1112;971;1112;1139;1171;1255;1217;1322;1236;1641;1503;1823;1978;2101;2318;2498;2478;2667;2643;2748;2816;2904;3086;3228
Tunisia;101;90;111;101;137;137;144;165;147;186;192;233;236;123;264;190;209;253;318;289;304;429;439;439;460;459;466;546;533;508
United Kingdom;2898;2806;3088;3197;3466;2807;2903;2929;3142;2907;3012;3062;2971;3002;3329;3433;4046;3781;3967;4131;4302;4183;4126;4206;4319;4895;5052;4989;5688;5554
United States;21007;19840;22939;19329;16171;17107;19445;20343;21030;22746;23767;21415;21639;22760;23184;23042;23709;24219;24277;23578;24378;26093;26056;27016;27565;27708;28838;29488;28918;30854
Total;74131;71282;79216;77120;75024;72371;77854;81063;82767;85432;87642;88950;91266;93394;95847;96376;101567;104655;106798;104513;109145;111812;113171;115931;120028;121378;127632;126063;129947;134944
